背番号,プレイヤー名,TEAM,ビブスType,CLASS
0,サメ,Red,ドバスOriginal,初級
1,しづ,Red,ドバスOriginal,初級
2,しかくー,Red,ドバスOriginal,初級
3,あべゆー,Red,ドバスOriginal,初級
4,あやか,Red,ドバスOriginal,初級
5,斉藤 竜也,Red,ドバスOriginal,初級
3,まつうら,Red,ドバスOriginal,中級
6,そう,Red,ドバスOriginal,中級
10,りずむ,Red,ドバスOriginal,中級
11,むー,Red,ドバスOriginal,中級
13,よう,Red,ドバスOriginal,中級
15,ザラキ,Red,ドバスOriginal,中級
21,のむら,Red,ドバスOriginal,中級
31,林隼也,Red,ドバスOriginal,上級
32,みや,Red,ドバスOriginal,上級
35,チャッピー,Red,ドバスOriginal,上級
1,たけ,Red,ドバスOriginal,上級
4,しゅうま,Red,ドバスOriginal,上級
5,まつ,Red,ドバスOriginal,上級
0,みく,Blue,ドバスOriginal,初級
1,まめ,Blue,ドバスOriginal,初級
2,そーじょー,Blue,ドバスOriginal,初級
3,あやまる,Blue,ドバスOriginal,初級
4,あきら,Blue,ドバスOriginal,初級
5,ゆな,Blue,ドバスOriginal,初級
13,いっせい,Blue,ドバスOriginal,中級
14,おがわ,Blue,ドバスOriginal,中級
15,ばん,Blue,ドバスOriginal,中級
2,ちょこ,Blue,ドバスOriginal,中級
5,しゅう,Blue,ドバスOriginal,中級
12,ひらっち,Blue,ドバスOriginal,中級
32,けい,Blue,ドバスOriginal,中級
1,エリック,Blue,ドバスOriginal,中級
4,おかもと,Blue,ドバスOriginal,中級
6,せいや,Blue,ドバスOriginal,中級
8,きゃみー,Blue,ドバスOriginal,中級
7,斎藤亮介,Blue,ドバスOriginal,中級
9,林宜宏,Blue,ドバスOriginal,中級
